 - - [04/Feb/2026:08:29:54 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
 - - [04/Feb/2026:08:32:12 +0300] "POST /api/backup/run HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:08:32:52 +0300] "POST /api/backup/status HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:08:33:24 +0300] "POST /api/backup/health HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:08:33:47 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
 - - [04/Feb/2026:08:38:59 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
 - - [04/Feb/2026:08:38:59 +0300] "GET /favicon.ico HTTP/1.0" 404 207 "http://backups.cubinez.ru/health" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
 - - [04/Feb/2026:08:50:14 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
 - - [04/Feb/2026:08:51:07 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:14 +0300] "GET / HTTP/1.0" 200 29 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:14 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:52 +0300] "GET / HTTP/1.0" 200 29 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:53 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:53 +0300] "GET /api/backup/status HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:53 +0300] "GET /api/backup/status HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:53 +0300] "POST /api/backup/run HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:01:54 +0300] "POST /api/backup/run HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:01 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:01 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:01 +0300] "GET /api/backup/test HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:02 +0300] "GET /api/system/info HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:02 +0300] "GET /api/system/info HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:05 +0300] "GET /api/backup/status HTTP/1.0" 200 30 "-" "curl/7.81.0"
 - - [04/Feb/2026:09:08:05 +0300] "POST /api/backup/run HTTP/1.0" 200 106 "-" "curl/7.81.0"
 - - [05/Feb/2026:16:38:42 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
 - - [05/Feb/2026:16:39:04 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
 - - [05/Feb/2026:16:39:23 +0300] "GET /api/backup/test HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [05/Feb/2026:16:40:12 +0300] "POST /api/backup/run HTTP/1.0" 200 106 "-" "curl/7.81.0"
 - - [05/Feb/2026:16:44:32 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
 - - [05/Feb/2026:16:44:34 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
 - - [05/Feb/2026:16:48:34 +0300] "GET /api/system/info HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [05/Feb/2026:16:48:35 +0300] "GET /api/system/info HTTP/1.0" 404 207 "-" "curl/7.81.0"
 - - [05/Feb/2026:17:04:48 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
 - - [05/Feb/2026:17:05:16 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
 - - [05/Feb/2026:17:05:33 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
 - - [05/Feb/2026:17:05:51 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:17:55:44 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:17:55:44 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:17:59:44 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:17:59:44 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:06:04 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:06:04 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:06:30 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:06:31 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:07:08 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:07:08 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:07:36 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:07:36 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:07:56 +0300] "GET /health HTTP/1.0" 200 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
127.0.0.1 - - [05/Feb/2026:18:08:59 +0300] "GET /api/backup/test HTTP/1.0" 404 207 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:13:59 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:13:59 +0300] "GET /health HTTP/1.0" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:14:52 +0300] "GET /api/backup/test HTTP/1.1" 404 207 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:15:27 +0300] "GET /api/backup/test HTTP/1.0" 404 207 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:15:49 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:15:49 +0300] "GET /api/backup/test HTTP/1.1" 404 207 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:15:49 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:15:50 +0300] "GET /api/backup/test HTTP/1.0" 404 207 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:15:50 +0300] "POST /api/backup/run HTTP/1.0" 200 106 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:17:39 +0300] "GET /api/backup/test HTTP/1.0" 404 207 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:51:03 +0300] "GET /api/backup/test HTTP/1.0" 200 167 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:52:28 +0300] "GET /api/backup/test HTTP/1.1" 200 167 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:52:28 +0300] "GET /api/backup/status HTTP/1.1" 200 55 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:52:28 +0300] "GET /api/system/info HTTP/1.1" 200 352 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:52:32 +0300] "POST /api/backup/run HTTP/1.1" 200 202 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:53:41 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:53:41 +0300] "GET /api/backup/test HTTP/1.1" 200 167 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:53:41 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:53:42 +0300] "GET /api/backup/test HTTP/1.0" 200 167 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:53:44 +0300] "POST /api/backup/run HTTP/1.0" 200 202 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:57:34 +0300] "GET /health HTTP/1.1" 200 2 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:58:29 +0300] "GET / HTTP/1.1" 200 37 "-" "curl/7.81.0"
127.0.0.1 - - [05/Feb/2026:18:58:29 +0300] "GET / HTTP/1.0" 200 37 "-" "curl/7.81.0"
